20;space
21;exclam
22;quotedbl
23;numbersign
24;dollar
25;percent
26;ampersand
27;quotesingle
28;parenleft
29;parenright
2a;asterisk
2b;plus
2c;comma
2d;hyphen
2e;period
2f;slash
30;zero
31;one
32;two
33;three
34;four
35;five
36;six
37;seven
38;eight
39;nine
3a;colon
3b;semicolon
3c;less
3d;equal
3e;greater
3f;question
40;at
41;A
42;B
43;C
44;D
45;E
46;F
47;G
48;H
49;I
4a;J
4b;K
4c;L
4d;M
4e;N
4f;O
50;P
51;Q
52;R
53;S
54;T
55;U
56;V
57;W
58;X
59;Y
5a;Z
5b;bracketleft
5c;backslash
5d;bracketright
5e;asciicircum
5f;underscore
60;grave
61;a
62;b
63;c
64;d
65;e
66;f
67;g
68;h
69;i
6a;j
6b;k
6c;l
6d;m
6e;n
6f;o
70;p
71;q
72;r
73;s
74;t
75;u
76;v
77;w
78;x
79;y
7a;z
7b;braceleft
7c;bar
7d;braceright
7e;asciitilde
80;Adieresis
81;Aring
82;Ccedilla
83;Eacute
84;Ntilde
85;Odieresis
86;Udieresis
87;aacute
88;agrave
89;acircumflex
8a;adieresis
8b;atilde
8c;aring
8d;ccedilla
8e;eacute
8f;egrave
90;ecircumflex
91;edieresis
92;iacute
93;igrave
94;icircumflex
95;idieresis
96;ntilde
97;oacute
98;ograve
99;ocircumflex
9a;odieresis
9b;otilde
9c;uacute
9d;ugrave
9e;ucircumflex
9f;udieresis
a0;dagger
a1;degree
a2;cent
a3;sterling
a4;section
a5;bullet
a6;paragraph
a7;germandbls
a8;registered
a9;copyright
aa;trademark
ab;acute
ac;dieresis
ae;AE
af;Oslash
b1;plusminus
b4;yen
b5;mu
bb;ordfeminine
bc;ordmasculine
be;ae
bf;oslash
c0;questiondown
c1;exclamdown
c2;logicalnot
c4;florin
c7;guillemotleft
c8;guillemotright
c9;ellipsis
cb;Agrave
cc;Atilde
cd;Otilde
ce;OE
cf;oe
d0;endash
d1;emdash
d2;quotedblleft
d3;quotedblright
d4;quoteleft
d5;quoteright
d6;divide
d8;ydieresis
d9;Ydieresis
da;fraction
db;currency
dc;guilsinglleft
dd;guilsinglright
de;fi
df;fl
e0;daggerdbl
e1;periodcentered
e2;quotesinglbase
e3;quotedblbase
e4;perthousand
e5;Acircumflex
e6;Ecircumflex
e7;Aacute
e8;Edieresis
e9;Egrave
ea;Iacute
eb;Icircumflex
ec;Idieresis
ed;Igrave
ee;Oacute
ef;Ocircumflex
f1;Ograve
f2;Uacute
f3;Ucircumflex
f4;Ugrave
f5;dotlessi
f6;circumflex
f7;tilde
f8;macron
f9;breve
fa;dotaccent
fb;ring
fc;cedilla
fd;hungarumlaut
fe;ogonek
ff;caron
