H11001;002B
H11002;2012
H11003;00D7
H11004;00F7
H11005;003D
H11006;00B1
H11008;221D
H11009;221E
H11011;223C
H11012;224F
H11013;2261
H11015;2248
H11016;2A9A
H11017;2266
H11018;2236
H11019;2237
H11020;223A
H11021;003C
H11022;003E
H11023;226E
H11024;226F
H11025;224E
H11028;2220
H11030;2234
H11031;2235
H11032;2032
H11033;2033
H11034;00B0
H11036;22A5
H11039;2250
H11055;2A71
H11056;2A72
H11057;2ACD
H11058;2ACE
H11068;2AE1
H11076;299E
H11080;22C5
H11083;2205
H11084;2267
H11088;2A7D
H11091;2A7E
H11108;2263
H11124;2276
H11125;2277
H11128;2202
H11135;2221
H11216;2251
H11223;22EE
H11229;2243
H11253;226C
H11270;2AA1
H11271;2AA2
H11302;2249
H11303;2244
H11304;2247
H11325;2266 0338
H11326;2267 0338
H11327;2A8B
H11328;2A8C
H11333;22D5
H11337;2224
H11338;2035
H11339;2A66
H11340;2252
H11343;2A6A
H11344;2A6B
H11347;22A1
H11349;2264
H11350;2265
H11354;2A9E
H11356;2273
H11357;22DA
H11358;22DB
H11359;2A91
H11360;2A92
H11361;2A26
H11362;2A24
H11364;22BB
H11365;22BC
H11367;2A5E
H11368;225F
H11370;29E5
H11371;22FE
H11372;22F7
H11373;227B
H11374;227A
H11375;227C
H11377;224D
H11379;2272
H11382;2253
H11383;2238
H11384;2A96
H11385;2A95
H11388;2A99
H11389;2A9D
H11392;2A53
H11394;225B
H11408;2215
H11409;2A2C
H11410;2A2B
H11416;2242
H11417;22A4
H11418;2AE0
H11419;2AF5
H11420;0323
H11424;299B
H11433;2201
H11444;2AC5
H11445;2AC6
H11467;22BD
H11468;2A5F
H11469;2A62
H11470;2A60
H11477;22BA
H11483;22D6
H11484;22D7
H11489;219D
H11497;2A6C
H11541;2032
H11542;2033
H11543;00B0
H11545;00F7
H11547;00D7
H11548;00F7
H11549;003D
H11550;00B1
H11551;2213
H11554;2219
H11556;221D
H11557;221E
H11568;2218
H11569;2217
H11612;1D6C1
H11621;25B1
H11622;25AD
H11623;25AD
H11624;221F
H11626;22C1
H11627;22A2
H11628;22A3
H11632;2205
H11633;1D6C1
H11634;1D6DB
H11635;2057
H11711;22F1
H11921;1D538
H11922;1D539
H11923;2102
H11924;1D53B
H11925;1D53C
H11926;1D53D
H11927;1D53E
H11928;210D
H11929;1D540
H11930;1D541
H11931;1D542
H11932;1D543
H11933;1D544
H11935;1D546
H11936;2119
H11937;211A
H11938;211D
H11939;1D54A
H11940;1D54B
H11941;1D54C
H11942;1D54D
H11943;1D54E
H11944;1D54F
H11945;1D550
H11946;2124
H14135;2118
H14136;2130
H17003;25C7
H17004;25C6
H17005;25B3
H17006;25BD
H17007;25B7
H17008;25C1
H17009;25B2
H17010;25BC
H17011;25C0
H17012;25B6
H17018;2299
H17033;25CF
H17034;25CB
H17035;25D0
H17038;25D1
H17040;25AD
H17041;25E7
H17042;25E8
H17043;25E9
H17044;25EA
H17045;25ED
H17046;25EE
H17047;25EC
H17053;229C
H17054;229D
H17055;2297
H17056;229C
H17188;2207
H20001;229D
H20002;2297
H20004;29B6
H20041;25EB
H20661;2286
H20662;2287
H20668;222A
H20669;2229
H20670;2ABD
H20671;2ABE
H20672;2AC7
H20673;2AC8
H20676;22D0
H20677;22D1
H20678;2208
H20679;2AD3
H20680;2AD4
H20681;2AD5
H20682;2AD6
H20687;220B
H20688;220A
H20689;220D
H20690;2282
H20691;2283
H20841;2223
H20849;0028
H20850;0029
H20851;005B
H20852;005D
H20853;007B
H20854;007D
H20855;2329
H20856;232A
H20857;221A
H20858;03A3
H20862;2215
H20864;005B
H20865;005D
H20866;005B
H20868;0029
H20869;2A16
H20871;0028
H20872;0029
H20873;0028
H20874;0029
H20875;005B
H20876;005D
H20881;221A
H20885;222B
H20889;03A0
H20890;005B
H20891;301B
H20892;005B
H20893;005D
H20894;0029
H20896;0028
H20897;0029
H20898;0028
H20899;0029
H20900;005B
H20901;005D
H20904;2223
H20907;22F0
H20908;2329
H20909;232A
H20912;222F
H20913;2211
H20915;005B
H20916;005D
H20917;005B
H20920;0028
H20921;0029
H21739;21A6
H21740;293A
H21741;293B
H21748;293C
H21749;293D
H21750;293E
H21751;293F
H21753;22EF
H21754;22F0
H21755;22F1
H22841;2605
H22845;2606
H33355;2A7D
H33356;2A7E
H33358;1D4F5
H33360;2248
H33361;2245
H33370;2229
H33371;222A
H33453;2267 0338
H33454;2266 0338
H33456;2237
H33525;23AF
H33526;23AF
H33527;033F
H33528;2208
H33529;220B
H33701;203E
H33702;203E
H5007;2012
H5008;2013
H5009;2014
H5037;2135
H5101;1D49C
H5102;212C
H5103;1D49E
H5104;1D49F
H5106;2131
H5107;1D4A2
H5109;2110
H5110;1D4A5
H5111;1D4A6
H5112;2112
H5113;2133
H5114;1D4A9
H5115;1D4AA
H5117;1D4AC
H5118;211B
H5119;1D4AE
H5120;1D4AF
H5122;1D4B1
H5123;1D4B2
H5124;1D4B3
H5125;1D4B4
H5126;1D4B5
H5127;210A
H5128;1D4BD
H5129;1D4F5
H5130;1D4CF
H5131;1D4F0
H5132;1D4BD
H5133;1D4F5
H5134;1D503
H5177;2113 0336
H5211;1D504
H5212;1D519
H5213;212D
H5214;1D507
H5215;1D508
H5216;1D509
H5217;1D50A
H5218;210C
H5219;2111
H5220;1D50D
H5221;1D50E
H5222;1D50F
H5223;1D510
H5224;1D511
H5225;1D512
H5226;1D513
H5227;1D514
H5228;211C
H5229;1D516
H5230;1D517
H5231;1D518
H5232;1D519
H5233;1D51A
H5234;1D51B
H5235;1D51C
H5236;2128
H5246;1D51E
H5247;1D51F
H5248;1D520
H5249;1D521
H5250;1D522
H5251;1D523
H5252;1D524
H5253;1D525
H5254;1D526
H5255;1D527
H5256;1D528
H5258;1D52A
H5259;1D52B
H5260;1D52C
H5261;1D52D
H5262;1D52E
H5263;1D52F
H5264;1D530
H5265;1D531
H5266;1D532
H5267;1D533
H5268;1D534
H5269;1D535
H5270;1D536
H5271;1D537
H6013;0307
H6015;030B
H6017;25CF
H6018;005F
H6023;20D7
H6024;20D6
H6025;003D
H6031;2A70 0338
H6034;0304 030C
H6035;0304 0303
H6036;210F
H6108;0304 0308
H6124;20D7
H6125;20D6
H6184;25CF
H6186;005F
H6188;20D7
H6189;20D6
H6190;20DB
H7001;2200
H7002;2203
H9001;1D6A8
H9002;1D6A9
H9003;1D6AA
H9004;1D6AB
H9005;1D6AC
H9006;1D6AD
H9007;1D6AE
H9008;1D6AF
H9009;1D6B0
H9010;1D6B1
H9011;1D6B2
H9012;1D6B3
H9013;1D6B4
H9014;1D6B5
H9015;1D6B6
H9016;1D6B7
H9017;1D6B8
H9018;1D6BA
H9019;1D6BB
H9020;1D6BC
H9021;1D6BD
H9022;1D6BE
H9023;1D6BF
H9024;1D6C0
H9052;1D6B9
H9251;1D6C2
H9252;1D6C3
H9253;1D6C4
H9254;1D6C5
H9255;1D6C6
H9256;1D6C7
H9257;1D6C8
H9258;1D6C9
H9259;1D6CA
H9260;1D6CB
H9261;1D6CC
H9262;1D6CD
H9263;1D6CE
H9264;1D6CF
H9265;1D6D0
H9266;1D6D1
H9267;1D6D2
H9268;1D6D4
H9269;1D6D3
H9270;1D6D5
H9271;1D6D6
H9272;1D6D7
H9273;1D6D8
H9274;1D6D9
H9275;1D6DA
H9276;1D6E1
H9277;1D6DD
H9278;1D6DF
H9280;1D6DC
H9281;03D0
H9282;1D6DE
H9284;019B
HS11329;2A70 0338
HV11013;2262
HV11016;2A9A 0338
HV11017;2266 0338
HV11021;226E
HV11022;226F
HV11061;2247
HV11084;2267 0338
HV11088;2A7D 0338
HV11091;2A7E 0338
HV11108;2263 0338
HV11229;2244
HV11329;2A70 0338
HV11349;2270
HV11350;2271
HV11371;22FD
HV11372;22F6
HV11373;2281
HV11374;2280
HV11375;22E0
HV11376;22E1
HV11377;226D
HV11384;2A96 0338
HV11385;2A95 0338
HV11388;2A99 0338
HV11416;2242 0338
HV11549;2260
HV20661;2288
HV20678;2209
HV20687;220C
HV20690;2284
HV20691;2285
HV33528;2209
HV33529;220C
HV33783;2A7D 0338
HV33787;2A6C 0338
HV33875;2280
HV33876;2A99 0338
