# Created by hand by P. Staar
# these are glyphs needed for Calibri
C32;0020
C33;0021
C34;0022
C35;0023
C36;0024
C37;0025
C38;0026
C39;0027
C40;0028
C41;0029
C42;002A
C43;002B
C44;002C
C45;002D
C46;002E
C47;002F
C48;0030
C49;0031
C50;0032
C51;0033
C52;0034
C53;0035
C54;0036
C55;0037
C56;0038
C57;0039
C58;003A
C59;003B
C60;003C
C61;003D
C62;003E
C63;003F
C64;0040
C65;0041
C66;0042
C67;0043
C68;0044
C69;0045
C70;0046
C71;0047
C72;0048
C73;0049
C74;004A
C75;004B
C76;004C
C77;004D
C78;004E
C79;004F
C80;0050
C81;0051
C82;0052
C83;0053
C84;0054
C85;0055
C86;0056
C87;0057
C88;0058
C89;0059
C90;005A
C91;005B
C92;005C
C93;005D
C94;005E
C95;005F
C96;0060
C97;0061
C98;0062
C99;0063
C100;0064
C101;0065
C102;0066
C103;0067
C104;0068
C105;0069
C106;006A
C107;006B
C108;006C
C109;006D
C110;006E
C111;006F
C112;0070
C113;0071
C114;0072
C115;0073
C116;0074
C117;0075
C118;0076
C119;0077
C120;0078
C121;0079
C122;007A
C123;007B
C124;007C
C125;007D
C126;007E
C127;007F
C128;0080
C129;0081
C130;0082
C131;0083
C132;0084
C133;0085
C134;0086
C135;0087
C136;0088
C137;0089
C138;008A
C139;008B
C140;008C
C141;008D
C142;008E
C143;008F
C144;0090
C145;0091
C146;0092
C147;0093
C148;0094
C149;0095
C150;0096
C151;0097
C152;0098
C153;0099
C154;009A
C155;009B
C156;009C
C157;009D
C158;009E
C159;009F
C160;00A0
C161;00A1
C162;00A2
C163;00A3
C164;00A4
C165;00A5
C166;00A6
C167;00A7
C168;00A8
C169;00A9
C170;00AA
C171;00AB
C172;00AC
C173;00AD
C174;00AE
C175;00AF
C176;00B0
C177;00B1
C178;00B2
C179;00B3
C180;00B4
C181;00B5
C182;00B6
C183;00B7
C184;00B8
C185;00B9
C186;00BA
C187;00BB
C188;00BC
C189;00BD
C190;00BE
C191;00BF
C192;00C0
C193;00C1
C194;00C2
C195;00C3
C196;00C4
C197;00C5
C198;00C6
C199;00C7
C200;00C8
C201;00C9
C202;00CA
C203;00CB
C204;00CC
C205;00CD
C206;00CE
C207;00CF
C208;00D0
C209;00D1
C210;00D2
C211;00D3
C212;00D4
C213;00D5
C214;00D6
C215;00D7
C216;00D8
C217;00D9
C218;00DA
C219;00DB
C220;00DC
C221;00DD
C222;00DE
C223;00DF
C224;00E0
C225;00E1
C226;00E2
C227;00E3
C228;00E4
C229;00E5
C230;00E6
C231;00E7
C232;00E8
C233;00E9
C234;00EA
C235;00EB
C236;00EC
C237;00ED
C238;00EE
C239;00EF
C240;00F0
C241;00F1
C242;00F2
C243;00F3
C244;00F4
C245;00F5
C246;00F6
C247;00F7
C248;00F8
C249;00F9
C250;00FA
C251;00FB
C252;00FC
C253;00FD
C254;00FE
C255;00FF
