20;space
21;exclamsmall
22;Hungarumlautsmall
23;centoldstyle
24;dollaroldstyle
25;dollarsuperior
26;ampersandsmall
27;Acutesmall
28;parenleftsuperior
29;parenrightsuperior
2a;twodotenleader
2b;onedotenleader
2c;comma
2d;hyphen
2e;period
2f;fraction
30;zerooldstyle
31;oneoldstyle
32;twooldstyle
33;threeoldstyle
34;fouroldstyle
35;fiveoldstyle
36;sixoldstyle
37;sevenoldstyle
38;eightoldstyle
39;nineoldstyle
3a;colon
3b;semicolon
3d;threequartersemdash
3f;questionsmall
44;Ethsmall
47;onequarter
48;onehalf
49;threequarters
4a;oneeighth
4b;threeeighths
4c;fiveeighths
4d;seveneighths
4e;onethird
4f;twothirds
56;ff
57;fi
58;fl
59;ffi
5a;ffl
5b;parenleftinferior
5d;parenrightinferior
5e;Circumflexsmall
5f;hypheninferior
60;Gravesmall
61;Asmall
62;Bsmall
63;Csmall
64;Dsmall
65;Esmall
66;Fsmall
67;Gsmall
68;Hsmall
69;Ismall
6a;Jsmall
6b;Ksmall
6c;Lsmall
6d;Msmall
6e;Nsmall
6f;Osmall
70;Psmall
71;Qsmall
72;Rsmall
73;Ssmall
74;Tsmall
75;Usmall
76;Vsmall
77;Wsmall
78;Xsmall
79;Ysmall
7a;Zsmall
7b;colonmonetary
7c;onefitted
7d;rupiah
7e;Tildesmall
81;asuperior
82;centsuperior
87;Aacutesmall
88;Agravesmall
89;Acircumflexsmall
8a;Adieresissmall
8b;Atildesmall
8c;Aringsmall
8d;Ccedillasmall
8e;Eacutesmall
8f;Egravesmall
90;Ecircumflexsmall
91;Edieresissmall
92;Iacutesmall
93;Igravesmall
94;Icircumflexsmall
95;Idieresissmall
96;Ntildesmall
97;Oacutesmall
98;Ogravesmall
99;Ocircumflexsmall
9a;Odieresissmall
9b;Otildesmall
9c;Uacutesmall
9d;Ugravesmall
9e;Ucircumflexsmall
9f;Udieresissmall
a1;eightsuperior
a2;fourinferior
a3;threeinferior
a4;sixinferior
a5;eightinferior
a6;seveninferior
a7;Scaronsmall
a9;centinferior
aa;twoinferior
ac;Dieresissmall
ae;Caronsmall
af;osuperior
b0;fiveinferior
b2;commainferior
b3;periodinferior
b4;Yacutesmall
b6;dollarinferior
b9;Thornsmall
bb;nineinferior
bc;zeroinferior
bd;Zcaronsmall
be;AEsmall
bf;Oslashsmall
c0;questiondownsmall
c1;oneinferior
c2;Lslashsmall
c9;Cedillasmall
cf;OEsmall
d0;figuredash
d1;hyphensuperior
d6;exclamdownsmall
d8;Ydieresissmall
da;onesuperior
db;twosuperior
dc;threesuperior
dd;foursuperior
de;fivesuperior
df;sixsuperior
e0;sevensuperior
e1;ninesuperior
e2;zerosuperior
e4;esuperior
e5;rsuperior
e6;tsuperior
e9;isuperior
ea;ssuperior
eb;dsuperior
f1;lsuperior
f2;Ogoneksmall
f3;Brevesmall
f4;Macronsmall
f5;bsuperior
f6;nsuperior
f7;msuperior
f8;commasuperior
f9;periodsuperior
fa;Dotaccentsmall
fb;Ringsmall
