20;space
21;exclam
22;quotedbl
23;numbersign
24;dollar
25;percent
26;ampersand
27;quoteright
28;parenleft
29;parenright
2a;asterisk
2b;plus
2c;comma
2d;hyphen
2e;period
2f;slash
30;zero
31;one
32;two
33;three
34;four
35;five
36;six
37;seven
38;eight
39;nine
3a;colon
3b;semicolon
3c;less
3d;equal
3e;greater
3f;question
40;at
41;A
42;B
43;C
44;D
45;E
46;F
47;G
48;H
49;I
4a;J
4b;K
4c;L
4d;M
4e;N
4f;O
50;P
51;Q
52;R
53;S
54;T
55;U
56;V
57;W
58;X
59;Y
5a;Z
5b;bracketleft
5c;backslash
5d;bracketright
5e;asciicircum
5f;underscore
60;quoteleft
61;a
62;b
63;c
64;d
65;e
66;f
67;g
68;h
69;i
6a;j
6b;k
6c;l
6d;m
6e;n
6f;o
70;p
71;q
72;r
73;s
74;t
75;u
76;v
77;w
78;x
79;y
7a;z
7b;braceleft
7c;bar
7d;braceright
7e;asciitilde
a1;exclamdown
a2;cent
a3;sterling
a4;fraction
a5;yen
a6;florin
a7;section
a8;currency
a9;quotesingle
aa;quotedblleft
ab;guillemotleft
ac;guilsinglleft
ad;guilsinglright
ae;fi
af;fl
b1;endash
b2;dagger
b3;daggerdbl
b4;periodcentered
b6;paragraph
b7;bullet
b8;quotesinglbase
b9;quotedblbase
ba;quotedblright
bb;guillemotright
bc;ellipsis
bd;perthousand
bf;questiondown
c1;grave
c2;acute
c3;circumflex
c4;tilde
c5;macron
c6;breve
c7;dotaccent
c8;dieresis
ca;ring
cb;cedilla
cd;hungarumlaut
ce;ogonek
cf;caron
d0;emdash
e1;AE
e3;ordfeminine
e8;Lslash
e9;Oslash
ea;OE
eb;ordmasculine
f1;ae
f5;dotlessi
f8;lslash
f9;oslash
fa;oe
fb;germandbls
