H11001;002B
H11002;2012
H11003;00D7
H11004;00F7
H11005;003D
H11006;00B1
H11008;221D
H11009;221E
H11011;223C
H11012;224F
H11013;2261
H11015;2248
H11016;2A9A
H11017;2266
H11018;2236
H11019;2237
H11020;223A
H11021;003C
H11022;003E
H11023;226E
H11024;226F
H11025;224E
H11028;2220
H11030;2234
H11031;2235
H11032;2032
H11033;2033
H11034;00B0
H11036;22A5
H11039;2250
H11055;2A71
H11056;2A72
H11057;2ACD
H11058;2ACE
H11068;2AE1
H11076;299E
H11080;22C5
H11083;2205
H11084;2267
H11088;2A7D
H11091;2A7E
H11108;2263
H11124;2276
H11125;2277
H11128;2202
H11135;2221
H11216;2251
H11223;22EE
H11229;2243
H11253;226C
H11270;2AA1
H11271;2AA2
H11302;2249
H11303;2244
H11304;2247
H11325;2266 0338
H11326;2267 0338
H11327;2A8B
H11328;2A8C
H11333;22D5
H11337;2224
H11338;2035
H11339;2A66
H11340;2252
H11343;2A6A
H11344;2A6B
H11347;22A1
H11349;2264
H11350;2265
H11354;2A9E
H11356;2273
H11357;22DA
H11358;22DB
H11359;2A91
H11360;2A92
H11361;2A26
H11362;2A24
H11364;22BB
H11365;22BC
H11367;2A5E
H11368;225F
H11370;29E5
H11371;22FE
H11372;22F7
H11373;227B
H11374;227A
H11375;227C
H11377;224D
H11379;2272
H11382;2253
H11383;2238
H11384;2A96
H11385;2A95
H11388;2A99
H11389;2A9D
H11392;2A53
H11394;225B
H11408;2215
H11409;2A2C
H11410;2A2B
H11416;2242
H11417;22A4
H11418;2AE0
H11419;2AF5
H11420;0323
H11424;299B
H11433;2201
H11444;2AC5
H11445;2AC6
H11467;22BD
H11468;2A5F
H11469;2A62
H11470;2A60
H11477;22BA
H11483;22D6
H11484;22D7
H11489;219D
H11497;2A6C
H11541;2032
H11542;2033
H11543;00B0
H11545;00F7
H11547;00D7
H11548;00F7
H11549;003D
H11550;00B1
H11551;2213
H11554;2219
H11556;221D
H11557;221E
H11568;2218
H11569;2217
H11612;0001D6C1
H11621;25B1
H11622;25AD
H11623;25AD
H11624;221F
H11626;22C1
H11627;22A2
H11628;22A3
H11632;2205
H11633;0001D6C1
H11634;0001D6DB
H11635;2057
H11711;22F1
H11921;0001D538
H11922;0001D539
H11923;2102
H11924;0001D53B
H11925;0001D53C
H11926;0001D53D
H11927;0001D53E
H11928;210D
H11929;0001D540
H11930;0001D541
H11931;0001D542
H11932;0001D543
H11933;0001D544
H11935;0001D546
H11936;2119
H11937;211A
H11938;211D
H11939;0001D54A
H11940;0001D54B
H11941;0001D54C
H11942;0001D54D
H11943;0001D54E
H11944;0001D54F
H11945;0001D550
H11946;2124
H14135;2118
H14136;2130
H17003;25C7
H17004;25C6
H17005;25B3
H17006;25BD
H17007;25B7
H17008;25C1
H17009;25B2
H17010;25BC
H17011;25C0
H17012;25B6
H17018;2299
H17033;25CF
H17034;25CB
H17035;25D0
H17038;25D1
H17040;25AD
H17041;25E7
H17042;25E8
H17043;25E9
H17044;25EA
H17045;25ED
H17046;25EE
H17047;25EC
H17053;229C
H17054;229D
H17055;2297
H17056;229C
H17188;2207
H20001;229D
H20002;2297
H20004;29B6
H20041;25EB
H20661;2286
H20662;2287
H20668;222A
H20669;2229
H20670;2ABD
H20671;2ABE
H20672;2AC7
H20673;2AC8
H20676;22D0
H20677;22D1
H20678;2208
H20679;2AD3
H20680;2AD4
H20681;2AD5
H20682;2AD6
H20687;220B
H20688;220A
H20689;220D
H20690;2282
H20691;2283
H20841;2223
H20849;0028
H20850;0029
H20851;005B
H20852;005D
H20853;007B
H20854;007D
H20855;2329
H20856;232A
H20857;221A
H20858;03A3
H20862;2215
H20864;005B
H20865;005D
H20866;005B
H20868;0029
H20869;2A16
H20871;0028
H20872;0029
H20873;0028
H20874;0029
H20875;005B
H20876;005D
H20881;221A
H20885;222B
H20889;03A0
H20890;005B
H20891;301B
H20892;005B
H20893;005D
H20894;0029
H20896;0028
H20897;0029
H20898;0028
H20899;0029
H20900;005B
H20901;005D
H20904;2223
H20907;22F0
H20908;2329
H20909;232A
H20912;222F
H20913;2211
H20915;005B
H20916;005D
H20917;005B
H20920;0028
H20921;0029
H21739;21A6
H21740;293A
H21741;293B
H21748;293C
H21749;293D
H21750;293E
H21751;293F
H21753;22EF
H21754;22F0
H21755;22F1
H22841;2605
H22845;2606
H33355;2A7D
H33356;2A7E
H33358;0001D4F5
H33360;2248
H33361;2245
H33370;2229
H33371;222A
H33453;2267 0338
H33454;2266 0338
H33456;2237
H33525;23AF
H33526;23AF
H33527;033F
H33528;2208
H33529;220B
H33701;203E
H33702;203E
H5007;2012
H5008;2013
H5009;2014
H5037;2135
H5101;0001D49C
H5102;212C
H5103;0001D49E
H5104;0001D49F
H5106;2131
H5107;0001D4A2
H5109;2110
H5110;0001D4A5
H5111;0001D4A6
H5112;2112
H5113;2133
H5114;0001D4A9
H5115;0001D4AA
H5117;0001D4AC
H5118;211B
H5119;0001D4AE
H5120;0001D4AF
H5122;0001D4B1
H5123;0001D4B2
H5124;0001D4B3
H5125;0001D4B4
H5126;0001D4B5
H5127;210A
H5128;0001D4BD
H5129;0001D4F5
H5130;0001D4CF
H5131;0001D4F0
H5132;0001D4BD
H5133;0001D4F5
H5134;0001D503
H5177;2113 0336
H5211;0001D504
H5212;0001D519
H5213;212D
H5214;0001D507
H5215;0001D508
H5216;0001D509
H5217;0001D50A
H5218;210C
H5219;2111
H5220;0001D50D
H5221;0001D50E
H5222;0001D50F
H5223;0001D510
H5224;0001D511
H5225;0001D512
H5226;0001D513
H5227;0001D514
H5228;211C
H5229;0001D516
H5230;0001D517
H5231;0001D518
H5232;0001D519
H5233;0001D51A
H5234;0001D51B
H5235;0001D51C
H5236;2128
H5246;0001D51E
H5247;0001D51F
H5248;0001D520
H5249;0001D521
H5250;0001D522
H5251;0001D523
H5252;0001D524
H5253;0001D525
H5254;0001D526
H5255;0001D527
H5256;0001D528
H5258;0001D52A
H5259;0001D52B
H5260;0001D52C
H5261;0001D52D
H5262;0001D52E
H5263;0001D52F
H5264;0001D530
H5265;0001D531
H5266;0001D532
H5267;0001D533
H5268;0001D534
H5269;0001D535
H5270;0001D536
H5271;0001D537
H6013;0307
H6015;030B
H6017;25CF
H6018;005F
H6023;20D7
H6024;20D6
H6025;003D
H6031;2A70 0338
H6034;0304 030C
H6035;0304 0303
H6036;210F
H6108;0304 0308
H6124;20D7
H6125;20D6
H6184;25CF
H6186;005F
H6188;20D7
H6189;20D6
H6190;20DB
H7001;2200
H7002;2203
H9001;0001D6A8
H9002;0001D6A9
H9003;0001D6AA
H9004;0001D6AB
H9005;0001D6AC
H9006;0001D6AD
H9007;0001D6AE
H9008;0001D6AF
H9009;0001D6B0
H9010;0001D6B1
H9011;0001D6B2
H9012;0001D6B3
H9013;0001D6B4
H9014;0001D6B5
H9015;0001D6B6
H9016;0001D6B7
H9017;0001D6B8
H9018;0001D6BA
H9019;0001D6BB
H9020;0001D6BC
H9021;0001D6BD
H9022;0001D6BE
H9023;0001D6BF
H9024;0001D6C0
H9052;0001D6B9
H9251;0001D6C2
H9252;0001D6C3
H9253;0001D6C4
H9254;0001D6C5
H9255;0001D6C6
H9256;0001D6C7
H9257;0001D6C8
H9258;0001D6C9
H9259;0001D6CA
H9260;0001D6CB
H9261;0001D6CC
H9262;0001D6CD
H9263;0001D6CE
H9264;0001D6CF
H9265;0001D6D0
H9266;0001D6D1
H9267;0001D6D2
H9268;0001D6D4
H9269;0001D6D3
H9270;0001D6D5
H9271;0001D6D6
H9272;0001D6D7
H9273;0001D6D8
H9274;0001D6D9
H9275;0001D6DA
H9276;0001D6E1
H9277;0001D6DD
H9278;0001D6DF
H9280;0001D6DC
H9281;03D0
H9282;0001D6DE
H9284;019B
HS11329;2A70 0338
HV11013;2262
HV11016;2A9A 0338
HV11017;2266 0338
HV11021;226E
HV11022;226F
HV11061;2247
HV11084;2267 0338
HV11088;2A7D 0338
HV11091;2A7E 0338
HV11108;2263 0338
HV11229;2244
HV11329;2A70 0338
HV11349;2270
HV11350;2271
HV11371;22FD
HV11372;22F6
HV11373;2281
HV11374;2280
HV11375;22E0
HV11376;22E1
HV11377;226D
HV11384;2A96 0338
HV11385;2A95 0338
HV11388;2A99 0338
HV11416;2242 0338
HV11549;2260
HV20661;2288
HV20678;2209
HV20687;220C
HV20690;2284
HV20691;2285
HV33528;2209
HV33529;220C
HV33783;2A7D 0338
HV33787;2A6C 0338
HV33875;2280
HV33876;2A99 0338
