H11001;002B
H11002;2012
H11003;00D7
H11004;00F7
H11005;003D
H11006;00B1
H11008;221D
H11009;221E
H11011;223C
H11012;224F
H11013;2261
H11015;2248
H11016;2A9A
H11017;2266
H11018;2236
H11019;2237
H11020;223A
H11021;003C
H11022;003E
H11023;226E
H11024;226F
H11025;224E
H11028;2220
H11030;2234
H11031;2235
H11032;2032
H11033;2033
H11034;00B0
H11036;22A5
H11039;2250
H11055;2A71
H11056;2A72
H11057;2ACD
H11058;2ACE
H11068;2AE1
H11076;299E
H11080;22C5
H11083;2205
H11084;2267
H11088;2A7D
H11091;2A7E
H11108;2263
H11124;2276
H11125;2277
H11128;2202
H11135;2221
H11216;2251
H11223;22EE
H11229;2243
H11253;226C
H11270;2AA1
H11271;2AA2
H11302;2249
H11303;2244
H11304;2247
H11325;2266 0338
H11326;2267 0338
H11327;2A8B
H11328;2A8C
H11333;22D5
H11337;2224
H11338;2035
H11339;2A66
H11340;2252
H11343;2A6A
H11344;2A6B
H11347;22A1
H11349;2264
H11350;2265
H11354;2A9E
H11356;2273
H11357;22DA
H11358;22DB
H11359;2A91
H11360;2A92
H11361;2A26
H11362;2A24
H11364;22BB
H11365;22BC
H11367;2A5E
H11368;225F
H11370;29E5
H11371;22FE
H11372;22F7
H11373;227B
H11374;227A
H11375;227C
H11377;224D
H11379;2272
H11382;2253
H11383;2238
H11384;2A96
H11385;2A95
H11388;2A99
H11389;2A9D
H11392;2A53
H11394;225B
H11408;2215
H11409;2A2C
H11410;2A2B
H11416;2242
H11417;22A4
H11418;2AE0
H11419;2AF5
H11420;0323
H11424;299B
H11433;2201
H11444;2AC5
H11445;2AC6
H11467;22BD
H11468;2A5F
H11469;2A62
H11470;2A60
H11477;22BA
H11483;22D6
H11484;22D7
H11489;219D
H11497;2A6C
H11541;2032
H11542;2033
H11543;00B0
H11545;00F7
H11547;00D7
H11548;00F7
H11549;003D
H11550;00B1
H11551;2213
H11554;2219
H11556;221D
H11557;221E
H11568;2218
H11569;2217
H33453;2267 0338
H33454;2266 0338
H5177;2113 0336
H6031;2A70 0338
H6034;0304 030C
H6035;0304 0303
H6108;0304 0308
HS11329;2A70 0338
HV11016;2A9A 0338
HV11017;2266 0338
HV11084;2267 0338
HV11088;2A7D 0338
HV11091;2A7E 0338
HV11108;2263 0338
HV11329;2A70 0338
HV11384;2A96 0338
HV11385;2A95 0338
HV11388;2A99 0338
HV11416;2242 0338
HV33783;2A7D 0338
HV33787;2A6C 0338
HV33876;2A99 0338
