zip,city,state_id,state_name
601,Adjuntas,PR,Puerto Rico
602,Aguada,PR,Puerto Rico
603,Aguadilla,PR,Puerto Rico
606,Maricao,PR,Puerto Rico
610,Anasco,PR,Puerto Rico
611,Angeles,PR,Puerto Rico
612,Arecibo,PR,Puerto Rico
616,Bajadero,PR,Puerto Rico
617,Barceloneta,PR,Puerto Rico
622,Boqueron,PR,Puerto Rico
623,Cabo Rojo,PR,Puerto Rico
624,Penuelas,PR,Puerto Rico
627,Camuy,PR,Puerto Rico
631,Castaner,PR,Puerto Rico
637,Sabana Grande,PR,Puerto Rico
638,Ciales,PR,Puerto Rico
641,Utuado,PR,Puerto Rico
646,Dorado,PR,Puerto Rico
647,Ensenada,PR,Puerto Rico
650,Florida,PR,Puerto Rico
652,Garrochales,PR,Puerto Rico
653,Guanica,PR,Puerto Rico
656,Guayanilla,PR,Puerto Rico
659,Hatillo,PR,Puerto Rico
660,Hormigueros,PR,Puerto Rico
662,Isabela,PR,Puerto Rico
664,Jayuya,PR,Puerto Rico
667,Lajas,PR,Puerto Rico
669,Lares,PR,Puerto Rico
670,Las Marias,PR,Puerto Rico
674,Manati,PR,Puerto Rico
676,Moca,PR,Puerto Rico
677,Rincon,PR,Puerto Rico
678,Quebradillas,PR,Puerto Rico
680,Mayaguez,PR,Puerto Rico
682,Mayaguez,PR,Puerto Rico
683,San German,PR,Puerto Rico
685,San Sebastian,PR,Puerto Rico
687,Morovis,PR,Puerto Rico
688,Sabana Hoyos,PR,Puerto Rico
690,San Antonio,PR,Puerto Rico
692,Vega Alta,PR,Puerto Rico
693,Vega Baja,PR,Puerto Rico
694,Vega Baja,PR,Puerto Rico
698,Yauco,PR,Puerto Rico
703,Aguas Buenas,PR,Puerto Rico
704,Aguirre,PR,Puerto Rico
705,Aibonito,PR,Puerto Rico
707,Maunabo,PR,Puerto Rico
714,Arroyo,PR,Puerto Rico
715,Mercedita,PR,Puerto Rico
716,Ponce,PR,Puerto Rico
717,Ponce,PR,Puerto Rico
718,Naguabo,PR,Puerto Rico
719,Naranjito,PR,Puerto Rico
720,Orocovis,PR,Puerto Rico
723,Patillas,PR,Puerto Rico
725,Caguas,PR,Puerto Rico
727,Caguas,PR,Puerto Rico
728,Ponce,PR,Puerto Rico
729,Canovanas,PR,Puerto Rico
730,Ponce,PR,Puerto Rico
731,Ponce,PR,Puerto Rico
735,Ceiba,PR,Puerto Rico
736,Cayey,PR,Puerto Rico
738,Fajardo,PR,Puerto Rico
739,Cidra,PR,Puerto Rico
740,Puerto Real,PR,Puerto Rico
741,Punta Santiago,PR,Puerto Rico
745,Rio Grande,PR,Puerto Rico
751,Salinas,PR,Puerto Rico
754,San Lorenzo,PR,Puerto Rico
757,Santa Isabel,PR,Puerto Rico
765,Vieques,PR,Puerto Rico
766,Villalba,PR,Puerto Rico
767,Yabucoa,PR,Puerto Rico
769,Coamo,PR,Puerto Rico
771,Las Piedras,PR,Puerto Rico
772,Loiza,PR,Puerto Rico
773,Luquillo,PR,Puerto Rico
775,Culebra,PR,Puerto Rico
777,Juncos,PR,Puerto Rico
778,Gurabo,PR,Puerto Rico
780,Coto Laurel,PR,Puerto Rico
782,Comerio,PR,Puerto Rico
783,Corozal,PR,Puerto Rico
784,Guayama,PR,Puerto Rico
786,La Plata,PR,Puerto Rico
791,Humacao,PR,Puerto Rico
794,Barranquitas,PR,Puerto Rico
795,Juana Diaz,PR,Puerto Rico
802,St Thomas,VI,Virgin Islands
820,Christiansted,VI,Virgin Islands
830,St John,VI,Virgin Islands
840,Frederiksted,VI,Virgin Islands
850,Kingshill,VI,Virgin Islands
851,Kingshill,VI,Virgin Islands
901,San Juan,PR,Puerto Rico
906,San Juan,PR,Puerto Rico
907,San Juan,PR,Puerto Rico
909,San Juan,PR,Puerto Rico
911,San Juan,PR,Puerto Rico
912,San Juan,PR,Puerto Rico
913,San Juan,PR,Puerto Rico
915,San Juan,PR,Puerto Rico
917,San Juan,PR,Puerto Rico
918,San Juan,PR,Puerto Rico
920,San Juan,PR,Puerto Rico
921,San Juan,PR,Puerto Rico
