product,unit,price
Apple,1 kg,6.42
Banana,1 kg,1.79
Orange,1 packet,18.62
Milk,1 kg,5.65
Bread,1 packet,16.7
Eggs,1 kg,19.33
Butter,1 packet,10.09
Cheese,1 packet,14.16
Chicken Breast,1 packet,15.4
Beef,1 kg,2.59
Pork,1 packet,1.6
Fish,1 kg,6.66
Shrimp,1 kg,3.79
Rice,1 litre,10.0
Pasta,1 litre,13.67
Olive Oil,1 packet,12.61
Salt,1 kg,16.92
Pepper,1 kg,16.87
Tomato,1 Kg,12.04
Potato,1 Kg,3.41
Onion,1 kg,19.3
Garlic,1 kg,18.32
Broccoli,1 kg,19.64
Carrot,1 litre,11.52
Cucumber,1 packet,17.82
Lettuce,1 litre,3.99
Spinach,1 kg,18.13
Mushroom,1 kg,3.75
Bell Pepper,1 packet,6.36
Zucchini,1 packet,3.79
Cabbage,1 litre,16.54
Cauliflower,1 kg,7.77
Corn,1 packet,2.29
Peas,1 litre,10.24
Green Beans,1 kg,3.61
Lemon,1 packet,15.15
Lime,1 packet,15.99
Strawberry,1 litre,19.39
Blueberry,1 packet,4.67
Raspberry,1 litre,8.51
Blackberry,1 packet,17.04
Pineapple,1 kg,16.57
Mango,1 kg,18.49
Papaya,1 litre,15.9
Watermelon,1 litre,3.78
Grapes,1 litre,14.63
Kiwi,1 packet,14.3
Cherry,1 litre,16.13
Peach,1 kg,11.07
Plum,1 litre,12.41
Apricot,1 kg,10.84
Nectarine,1 kg,3.18
Coconut,1 kg,13.74
Almonds,1 packet,10.66
Walnuts,1 litre,6.21
Cashews,1 litre,7.51
Pistachios,1 kg,4.54
Peanut Butter,1 packet,18.73
Jelly,1 packet,3.81
Honey,1 litre,13.9
Oatmeal,1 packet,11.32
Cereal,1 packet,13.3
Flour,1 packet,17.51
Sugar,1 litre,12.64
Baking Powder,1 packet,3.36
Baking Soda,1 kg,19.97
Vinegar,1 kg,9.81
Soy Sauce,1 litre,11.94
Ketchup,1 kg,6.17
Mustard,1 kg,19.09
Mayonnaise,1 packet,16.34
Hot Sauce,1 litre,2.83
Pickles,1 packet,3.93
Jam,1 packet,9.99
Yogurt,1 kg,11.68
Ice Cream,1 litre,14.79
Frozen Peas,1 kg,18.26
Frozen Corn,1 litre,7.35
Frozen Spinach,1 kg,16.85
Frozen Pizza,1 packet,8.75
Chicken Nuggets,1 packet,16.49
Hot Dogs,1 kg,8.07
Bacon,1 kg,1.36
Sausage,1 kg,5.2
Salami,1 packet,11.68
Ham,1 litre,16.85
Turkey,1 litre,11.85
Beef Jerky,1 kg,12.97
Granola Bars,1 litre,6.31
Chips,1 kg,4.99
Pretzels,1 kg,5.8
Popcorn,1 packet,5.96
Chocolate,1 packet,9.84
Cookies,1 litre,15.44
Cake Mix,1 litre,13.8
Brownie Mix,1 packet,16.21
Pancake Mix,1 kg,2.58
Syrup,1 kg,5.47
Tea,1 kg,17.75
Coffee,1 kg,6.8
Juice,1 packet,19.67
Soda,1 litre,13.3
